,playback_duration_sec,rebuffer_duration_sec,video_duration_sec,N_playback_frames,height,width,rebuffer_number,content_spatial_information,content_temporal_information,frame_rate,N_rebuffer_frames,N_total_frames,throughput_trace_name
0,27.533333333333335,0.03333333333333333,27.566666666666666,826,1080,1920,1,46.559426250657445,6.704285474180124,30.0,1,827,Train_vestby_oslo
0,27.133333333333333,4.3,31.433333333333334,814,1080,1920,3,24.465410465044613,9.669711446285113,30.0,129,943,Bus_ljansbakken_oslo
0,26.633333333333333,0.0,26.633333333333333,799,1080,1920,0,36.516496571081376,3.111321647896646,30.0,0,799,Train_vestby_oslo
0,27.933333333333334,0.0,27.933333333333334,838,1080,1920,0,51.2398822772529,12.835748041155938,30.0,0,838,Ferry_nesoddtangen_oslo
0,25.0,4.32,29.32,625,1080,1920,3,92.9468199053504,30.131945716916807,25.0,108,733,Bus_ljansbakken_oslo
0,27.0,0.9166666666666666,27.916666666666668,648,1080,1920,2,34.61757824674989,21.4034009946156,24.0,22,670,Tram_ljabru_jernbanetorget
0,27.933333333333334,0.0,27.933333333333334,838,1080,1920,0,51.2398822772529,12.835748041155938,30.0,0,838,Car_snaroya_smestad
0,26.066666666666666,0.0,26.066666666666666,782,1080,1920,0,64.01331619785371,24.66584142488366,30.0,0,782,Train_vestby_oslo
0,26.401374999999998,1.4597916666666666,27.861166666666666,633,1080,1920,2,48.80988581524824,30.562098419365153,23.976023976023978,35,668,Metro_kalbakken_jernbanetorget
0,27.133333333333333,0.0,27.133333333333333,814,1080,1920,0,24.465410465044613,9.669711446285113,30.0,0,814,Ferry_nesoddtangen_oslo
0,27.533333333333335,0.0,27.533333333333335,826,1080,1920,0,46.559426250657445,6.704285474180124,30.0,0,826,Ferry_nesoddtangen_oslo
0,25.0,0.0,25.0,625,1080,1920,0,92.9468199053504,30.131945716916807,25.0,0,625,Metro_kalbakken_jernbanetorget
0,26.625,0.0,26.625,639,1080,1920,0,43.56221475321591,11.106231569191065,24.0,0,639,Car_snaroya_smestad
0,26.401374999999998,2.2105416666666664,28.611916666666666,633,1080,1920,4,48.80988581524824,30.562098419365153,23.976023976023978,53,686,Car_snaroya_smestad
0,27.033333333333335,0.0,27.033333333333335,811,1080,1920,0,14.2797843224242,6.6985359883237345,30.0,0,811,Tram_jernbanetorget_ljabru
0,26.625,0.625,27.25,639,1080,1920,1,43.56221475321591,11.106231569191065,24.0,15,654,Metro_kalbakken_jernbanetorget
0,26.066666666666666,0.0,26.066666666666666,782,1080,1920,0,64.01331619785371,24.66584142488366,30.0,0,782,Ferry_nesoddtangen_oslo
0,27.694333333333333,0.0,27.694333333333333,664,1080,1920,0,72.4592681682656,30.94810643457089,23.976023976023978,0,664,Ferry_nesoddtangen_oslo
0,25.0,4.32,29.32,625,1080,1920,3,92.9468199053504,30.131945716916807,25.0,108,733,Bus_ljansbakken_oslo
0,27.0,0.0,27.0,648,1080,1920,0,34.61757824674989,21.4034009946156,24.0,0,648,Tram_jernbanetorget_ljabru
0,27.0,0.0,27.0,648,1080,1920,0,34.61757824674989,21.4034009946156,24.0,0,648,Metro_kalbakken_jernbanetorget
0,27.694333333333333,1.626625,29.32095833333333,664,1080,1920,4,72.4592681682656,30.94810643457089,23.976023976023978,39,703,Tram_ljabru_jernbanetorget
0,27.166666666666668,0.1,27.266666666666666,815,1080,1920,1,57.92489190208584,8.566515536550902,30.0,3,818,Car_snaroya_smestad
0,26.625,0.0,26.625,639,1080,1920,0,43.56221475321591,11.106231569191065,24.0,0,639,Train_vestby_oslo
0,26.466666666666665,0.1,26.566666666666666,794,1080,1920,1,32.45626741582569,23.969860687024266,30.0,3,797,Train_vestby_oslo
0,27.166666666666668,0.4,27.566666666666666,815,1080,1920,1,57.92489190208584,8.566515536550902,30.0,12,827,Train_vestby_oslo
0,27.0,0.0,27.0,648,1080,1920,0,34.61757824674989,21.4034009946156,24.0,0,648,Train_vestby_oslo
0,27.533333333333335,0.0,27.533333333333335,826,1080,1920,0,46.559426250657445,6.704285474180124,30.0,0,826,Tram_jernbanetorget_ljabru
0,27.0,1.7666666666666666,28.766666666666666,810,1080,1920,2,45.25730181933437,6.47053159800503,30.0,53,863,Metro_kalbakken_jernbanetorget
0,25.0,0.0,25.0,625,1080,1920,0,92.9468199053504,30.131945716916807,25.0,0,625,Ferry_nesoddtangen_oslo
0,27.133333333333333,2.7,29.833333333333332,814,1080,1920,3,24.465410465044613,9.669711446285113,30.0,81,895,Bus_ljansbakken_oslo
0,26.401374999999998,0.0,26.401374999999998,633,1080,1920,0,48.80988581524824,30.562098419365153,23.976023976023978,0,633,Tram_jernbanetorget_ljabru
0,26.466666666666665,5.633333333333334,32.1,794,1080,1920,3,32.45626741582569,23.969860687024266,30.0,169,963,Bus_ljansbakken_oslo
0,27.133333333333333,0.0,27.133333333333333,814,1080,1920,0,24.465410465044613,9.669711446285113,30.0,0,814,Metro_kalbakken_jernbanetorget
0,27.933333333333334,0.0,27.933333333333334,838,1080,1920,0,51.2398822772529,12.835748041155938,30.0,0,838,Train_vestby_oslo
0,26.466666666666665,0.9,27.366666666666667,794,1080,1920,2,32.45626741582569,23.969860687024266,30.0,27,821,Tram_ljabru_jernbanetorget
0,26.466666666666665,5.633333333333334,32.1,794,1080,1920,3,32.45626741582569,23.969860687024266,30.0,169,963,Bus_ljansbakken_oslo
0,27.0,0.875,27.875,648,1080,1920,3,34.61757824674989,21.4034009946156,24.0,21,669,Metro_kalbakken_jernbanetorget
0,27.166666666666668,0.26666666666666666,27.433333333333334,815,1080,1920,1,57.92489190208584,8.566515536550902,30.0,8,823,Car_snaroya_smestad
0,26.625,0.0,26.625,639,1080,1920,0,43.56221475321591,11.106231569191065,24.0,0,639,Metro_kalbakken_jernbanetorget
0,27.033333333333335,0.0,27.033333333333335,811,1080,1920,0,14.2797843224242,6.6985359883237345,30.0,0,811,Ferry_nesoddtangen_oslo
0,26.466666666666665,0.1,26.566666666666666,794,1080,1920,1,32.45626741582569,23.969860687024266,30.0,3,797,Train_vestby_oslo
0,26.633333333333333,0.0,26.633333333333333,799,1080,1920,0,36.516496571081376,3.111321647896646,30.0,0,799,Car_snaroya_smestad
