,0,1,2,3,4,5,6,7,8
0,230,399.0,495.0,589.0,690.0,746.0,,,
0,305,,,,,,,,
0,68,285.0,594.0,750.0,,,,,
0,148,441.0,503.0,,,,,,
0,262,441.0,,,,,,,
0,340,,,,,,,,
0,148,441.0,503.0,,,,,,
0,348,530.0,,,,,,,
0,78,198.0,,,,,,,
0,305,,,,,,,,
0,230,399.0,495.0,589.0,690.0,746.0,,,
0,262,441.0,,,,,,,
0,222,372.0,458.0,588.0,,,,,
0,78,198.0,,,,,,,
0,222,372.0,458.0,588.0,,,,,
0,348,530.0,,,,,,,
0,169,347.0,,,,,,,
0,262,441.0,,,,,,,
0,340,,,,,,,,
0,340,,,,,,,,
0,169,347.0,,,,,,,
0,70,326.0,386.0,,,,,,
0,222,372.0,458.0,588.0,,,,,
0,163,282.0,327.0,445.0,518.0,574.0,675.0,,
0,70,326.0,386.0,,,,,,
0,340,,,,,,,,
0,230,399.0,495.0,589.0,690.0,746.0,,,
0,194,,,,,,,,
0,262,441.0,,,,,,,
0,305,,,,,,,,
0,78,198.0,,,,,,,
0,163,282.0,327.0,445.0,518.0,574.0,675.0,,
0,305,,,,,,,,
0,148,441.0,503.0,,,,,,
0,163,282.0,327.0,445.0,518.0,574.0,675.0,,
0,163,282.0,327.0,445.0,518.0,574.0,675.0,,
0,340,,,,,,,,
0,70,326.0,386.0,,,,,,
0,222,372.0,458.0,588.0,,,,,
0,163,282.0,327.0,445.0,518.0,574.0,675.0,,
0,68,285.0,594.0,750.0,,,,,
0,262,441.0,,,,,,,
0,340,,,,,,,,
0,169,347.0,,,,,,,
0,305,,,,,,,,
0,305,,,,,,,,
0,230,399.0,495.0,589.0,690.0,746.0,,,
0,68,285.0,594.0,750.0,,,,,
0,68,152.0,407.0,437.0,483.0,514.0,526.0,564.0,625.0
0,78,198.0,,,,,,,
0,305,,,,,,,,
0,222,372.0,458.0,588.0,,,,,
0,348,530.0,,,,,,,
0,194,,,,,,,,
0,70,326.0,386.0,,,,,,
0,222,372.0,458.0,588.0,,,,,
0,68,152.0,407.0,437.0,483.0,514.0,526.0,564.0,625.0
0,70,326.0,386.0,,,,,,
0,70,326.0,386.0,,,,,,
0,68,152.0,407.0,437.0,483.0,514.0,526.0,564.0,625.0
0,194,,,,,,,,
0,340,,,,,,,,
0,169,347.0,,,,,,,
0,230,399.0,495.0,589.0,690.0,746.0,,,
0,262,441.0,,,,,,,
0,222,372.0,458.0,588.0,,,,,
0,148,441.0,503.0,,,,,,
0,68,285.0,594.0,750.0,,,,,
0,348,530.0,,,,,,,
0,305,,,,,,,,
0,148,441.0,503.0,,,,,,
0,262,441.0,,,,,,,
0,340,,,,,,,,
